Epoch 1, Generator Loss: 9.820842742919922, Discriminator Loss: 11.735145568847656, Final Classification Accuracy: 95.96%
Epoch 2, Generator Loss: 6.621891498565674, Discriminator Loss: 7.005224704742432, Final Classification Accuracy: 95.96%
Epoch 3, Generator Loss: 3.7736597061157227, Discriminator Loss: 4.481869697570801, Final Classification Accuracy: 95.96%
Epoch 4, Generator Loss: 2.204409122467041, Discriminator Loss: 4.1857008934021, Final Classification Accuracy: 95.96%
Epoch 5, Generator Loss: 1.7205158472061157, Discriminator Loss: 3.4798943996429443, Final Classification Accuracy: 95.96%
Epoch 6, Generator Loss: 1.4518640041351318, Discriminator Loss: 3.2445523738861084, Final Classification Accuracy: 95.96%
Epoch 7, Generator Loss: 1.312957525253296, Discriminator Loss: 3.0898892879486084, Final Classification Accuracy: 95.96%
Epoch 8, Generator Loss: 1.2026196718215942, Discriminator Loss: 2.9282360076904297, Final Classification Accuracy: 95.96%
Epoch 9, Generator Loss: 1.108809471130371, Discriminator Loss: 2.8920505046844482, Final Classification Accuracy: 95.96%
Epoch 10, Generator Loss: 1.0043220520019531, Discriminator Loss: 2.846161365509033, Final Classification Accuracy: 95.96%
Epoch 11, Generator Loss: 0.8947402834892273, Discriminator Loss: 2.8225362300872803, Final Classification Accuracy: 95.96%
Epoch 12, Generator Loss: 0.8802504539489746, Discriminator Loss: 2.7703137397766113, Final Classification Accuracy: 95.96%
Epoch 13, Generator Loss: 0.789933443069458, Discriminator Loss: 2.712822675704956, Final Classification Accuracy: 95.96%
Epoch 14, Generator Loss: 0.76629638671875, Discriminator Loss: 2.7743968963623047, Final Classification Accuracy: 95.96%
Epoch 15, Generator Loss: 0.7403147220611572, Discriminator Loss: 2.670848846435547, Final Classification Accuracy: 95.96%
Epoch 16, Generator Loss: 0.7209177017211914, Discriminator Loss: 2.601454973220825, Final Classification Accuracy: 95.96%
Epoch 17, Generator Loss: 0.7180536389350891, Discriminator Loss: 2.625476121902466, Final Classification Accuracy: 95.96%
Epoch 18, Generator Loss: 0.7243033647537231, Discriminator Loss: 2.556983470916748, Final Classification Accuracy: 95.96%
Epoch 19, Generator Loss: 0.7156105041503906, Discriminator Loss: 2.604448080062866, Final Classification Accuracy: 95.96%
Epoch 20, Generator Loss: 0.7399694919586182, Discriminator Loss: 2.5672154426574707, Final Classification Accuracy: 95.96%
Epoch 21, Generator Loss: 0.7664017081260681, Discriminator Loss: 2.6047487258911133, Final Classification Accuracy: 95.96%
Epoch 22, Generator Loss: 0.7627315521240234, Discriminator Loss: 2.4041991233825684, Final Classification Accuracy: 95.96%
Epoch 23, Generator Loss: 0.796514630317688, Discriminator Loss: 2.326956272125244, Final Classification Accuracy: 95.96%
Epoch 24, Generator Loss: 0.8540162444114685, Discriminator Loss: 2.3295767307281494, Final Classification Accuracy: 95.96%
