Epoch 1, Generator Loss: 11.753915786743164, Discriminator Loss: 13.99453067779541, Final Classification Accuracy: 95.08%
Epoch 2, Generator Loss: 6.445705413818359, Discriminator Loss: 9.474666595458984, Final Classification Accuracy: 95.08%
Epoch 3, Generator Loss: 3.1406638622283936, Discriminator Loss: 7.603100776672363, Final Classification Accuracy: 95.08%
Epoch 4, Generator Loss: 1.9769903421401978, Discriminator Loss: 5.4532976150512695, Final Classification Accuracy: 95.08%
Epoch 5, Generator Loss: 1.5966334342956543, Discriminator Loss: 4.699923515319824, Final Classification Accuracy: 95.08%
Epoch 6, Generator Loss: 1.3511220216751099, Discriminator Loss: 4.069982051849365, Final Classification Accuracy: 95.08%
Epoch 7, Generator Loss: 1.1142263412475586, Discriminator Loss: 3.7284154891967773, Final Classification Accuracy: 95.08%
Epoch 8, Generator Loss: 0.9791337251663208, Discriminator Loss: 3.350801467895508, Final Classification Accuracy: 95.08%
Epoch 9, Generator Loss: 0.8039613962173462, Discriminator Loss: 3.369985342025757, Final Classification Accuracy: 95.08%
Epoch 10, Generator Loss: 0.7079558372497559, Discriminator Loss: 3.3488826751708984, Final Classification Accuracy: 95.08%
Epoch 11, Generator Loss: 0.6675999164581299, Discriminator Loss: 3.3749475479125977, Final Classification Accuracy: 95.08%
Epoch 12, Generator Loss: 0.5946769118309021, Discriminator Loss: 3.237741231918335, Final Classification Accuracy: 95.08%
Epoch 13, Generator Loss: 0.5285918712615967, Discriminator Loss: 3.1120753288269043, Final Classification Accuracy: 95.08%
Epoch 14, Generator Loss: 0.4827241897583008, Discriminator Loss: 3.1709959506988525, Final Classification Accuracy: 95.08%
Epoch 15, Generator Loss: 0.46595796942710876, Discriminator Loss: 3.133718490600586, Final Classification Accuracy: 95.08%
Epoch 16, Generator Loss: 0.46229368448257446, Discriminator Loss: 3.174297332763672, Final Classification Accuracy: 95.08%
Epoch 17, Generator Loss: 0.44852131605148315, Discriminator Loss: 3.046535015106201, Final Classification Accuracy: 95.08%
Epoch 18, Generator Loss: 0.44609904289245605, Discriminator Loss: 3.1127514839172363, Final Classification Accuracy: 95.08%
Epoch 19, Generator Loss: 0.4583872854709625, Discriminator Loss: 3.0020198822021484, Final Classification Accuracy: 95.08%
Epoch 20, Generator Loss: 0.5046100616455078, Discriminator Loss: 2.8811779022216797, Final Classification Accuracy: 95.08%
Epoch 21, Generator Loss: 0.5143457651138306, Discriminator Loss: 2.763498306274414, Final Classification Accuracy: 95.08%
Epoch 22, Generator Loss: 0.5357916355133057, Discriminator Loss: 2.7713446617126465, Final Classification Accuracy: 95.08%
Epoch 23, Generator Loss: 0.6126482486724854, Discriminator Loss: 2.690155267715454, Final Classification Accuracy: 95.08%
Epoch 24, Generator Loss: 0.6274197101593018, Discriminator Loss: 2.5599586963653564, Final Classification Accuracy: 95.08%
Epoch 25, Generator Loss: 0.6892539858818054, Discriminator Loss: 2.5513179302215576, Final Classification Accuracy: 95.08%
Epoch 26, Generator Loss: 0.7171664237976074, Discriminator Loss: 2.5721096992492676, Final Classification Accuracy: 95.08%
Epoch 27, Generator Loss: 0.8028430938720703, Discriminator Loss: 2.4227848052978516, Final Classification Accuracy: 95.08%
Epoch 28, Generator Loss: 0.885499119758606, Discriminator Loss: 2.322694778442383, Final Classification Accuracy: 95.08%
Epoch 29, Generator Loss: 0.891695499420166, Discriminator Loss: 2.348193883895874, Final Classification Accuracy: 95.08%
Epoch 30, Generator Loss: 0.9418388605117798, Discriminator Loss: 2.5444791316986084, Final Classification Accuracy: 95.08%
Epoch 31, Generator Loss: 0.9765461087226868, Discriminator Loss: 2.4426867961883545, Final Classification Accuracy: 95.08%
Epoch 32, Generator Loss: 1.0656535625457764, Discriminator Loss: 2.1502599716186523, Final Classification Accuracy: 95.08%
Epoch 33, Generator Loss: 1.1175248622894287, Discriminator Loss: 2.1490979194641113, Final Classification Accuracy: 95.08%
Epoch 34, Generator Loss: 1.0903348922729492, Discriminator Loss: 2.214249610900879, Final Classification Accuracy: 95.08%
Epoch 35, Generator Loss: 1.0792485475540161, Discriminator Loss: 2.108029842376709, Final Classification Accuracy: 95.08%
Epoch 36, Generator Loss: 1.1600435972213745, Discriminator Loss: 2.175534725189209, Final Classification Accuracy: 95.08%
Epoch 37, Generator Loss: 1.158214807510376, Discriminator Loss: 2.200179100036621, Final Classification Accuracy: 95.08%
Epoch 38, Generator Loss: 1.2031831741333008, Discriminator Loss: 2.189042568206787, Final Classification Accuracy: 95.08%
Epoch 39, Generator Loss: 1.1048994064331055, Discriminator Loss: 2.205639123916626, Final Classification Accuracy: 95.08%
Epoch 40, Generator Loss: 1.1143516302108765, Discriminator Loss: 2.350584030151367, Final Classification Accuracy: 95.08%
Epoch 41, Generator Loss: 1.0781656503677368, Discriminator Loss: 2.2204153537750244, Final Classification Accuracy: 95.08%
Epoch 42, Generator Loss: 0.9828619360923767, Discriminator Loss: 2.266831636428833, Final Classification Accuracy: 95.08%
Epoch 43, Generator Loss: 0.9276507496833801, Discriminator Loss: 2.2020606994628906, Final Classification Accuracy: 95.08%
Epoch 44, Generator Loss: 0.8498453497886658, Discriminator Loss: 2.329078435897827, Final Classification Accuracy: 95.08%
Epoch 45, Generator Loss: 0.8400832414627075, Discriminator Loss: 2.3671538829803467, Final Classification Accuracy: 95.08%
Epoch 46, Generator Loss: 0.7244172096252441, Discriminator Loss: 2.521509885787964, Final Classification Accuracy: 95.08%
Epoch 47, Generator Loss: 0.7005072832107544, Discriminator Loss: 2.3188328742980957, Final Classification Accuracy: 95.08%
Epoch 48, Generator Loss: 0.6866816878318787, Discriminator Loss: 2.5158677101135254, Final Classification Accuracy: 95.08%
