Epoch 1, Generator Loss: 8.375753402709961, Discriminator Loss: 10.364952087402344, Classification Accuracy: 95.98%
Epoch 2, Generator Loss: 4.1710991859436035, Discriminator Loss: 7.469211578369141, Classification Accuracy: 95.98%
Epoch 3, Generator Loss: 3.493406295776367, Discriminator Loss: 4.693863868713379, Classification Accuracy: 95.98%
Epoch 4, Generator Loss: 2.465937614440918, Discriminator Loss: 4.803746223449707, Classification Accuracy: 95.98%
Epoch 5, Generator Loss: 1.9300847053527832, Discriminator Loss: 4.035881996154785, Classification Accuracy: 95.98%
Epoch 6, Generator Loss: 1.6351019144058228, Discriminator Loss: 4.014402866363525, Classification Accuracy: 95.98%
Epoch 7, Generator Loss: 1.407590627670288, Discriminator Loss: 3.476933240890503, Classification Accuracy: 95.98%
Epoch 8, Generator Loss: 1.267130970954895, Discriminator Loss: 3.429243326187134, Classification Accuracy: 95.98%
Epoch 9, Generator Loss: 1.1940914392471313, Discriminator Loss: 3.3718485832214355, Classification Accuracy: 95.98%
Epoch 10, Generator Loss: 1.1357282400131226, Discriminator Loss: 3.2298340797424316, Classification Accuracy: 95.98%
Epoch 11, Generator Loss: 1.0667860507965088, Discriminator Loss: 3.226163387298584, Classification Accuracy: 95.98%
Epoch 12, Generator Loss: 0.9578789472579956, Discriminator Loss: 3.1657052040100098, Classification Accuracy: 95.98%
Epoch 13, Generator Loss: 0.9472190141677856, Discriminator Loss: 3.0942318439483643, Classification Accuracy: 95.98%
Epoch 14, Generator Loss: 0.8721909523010254, Discriminator Loss: 3.0614023208618164, Classification Accuracy: 95.98%
Epoch 15, Generator Loss: 0.8466545343399048, Discriminator Loss: 3.043826103210449, Classification Accuracy: 95.98%
Epoch 16, Generator Loss: 0.8527380228042603, Discriminator Loss: 2.9427318572998047, Classification Accuracy: 95.98%
Epoch 17, Generator Loss: 0.8078513145446777, Discriminator Loss: 2.9095993041992188, Classification Accuracy: 95.98%
Epoch 18, Generator Loss: 0.8754216432571411, Discriminator Loss: 2.933936595916748, Classification Accuracy: 95.98%
Epoch 19, Generator Loss: 0.7926139831542969, Discriminator Loss: 3.003051280975342, Classification Accuracy: 95.98%
Epoch 20, Generator Loss: 0.7928136587142944, Discriminator Loss: 2.808929920196533, Classification Accuracy: 95.98%
Epoch 21, Generator Loss: 0.7912965416908264, Discriminator Loss: 2.743500232696533, Classification Accuracy: 95.98%
